id,jcwName
118,Computers & industrial engineering
119,Government Information Quarterly
120,Review of Research in Education
121,Annual Review of Fluid Mechanics
122,IEEE Transactions on Neural Networks
123,Science Advances
124,IEEE Transactions on Control Systems Technology
125,Hippocampus
126,Irish Journal of Medical Science
127,Nature Network Boston
128,Electronics
129,Methods in Enzymology
130,Journal of King Saud University: Computer and Information Sciences
131,Journal of Neuroscience
132,Neuroinformatics
133,Nanomaterials
134,IEEE Transactions on Mobile Computing
135,Pattern Recognition
136,Journal of Evidence-Based Medicine
137,Scientometrics
138,Data Science and Engineering
139,Astrophysical Journal Supplement Series
140,Journal of Library Administration
141,Journal of Epidemiology and Community Health
142,Journal of the Medical Library Association
143,Agronomy
144,Cambridge International Law Journal
145,New England Journal of Medicine
146,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research
147,Behavioral Neuroscience
148,International Journal of Semantic Computing
149,Computing
150,Computers and Electronics in Agriculture
151,International Journal of Neural Systems
152,Chest
153,International Journal of Production Research
154,ACM Transactions on Intelligent Systems and Technology
155,CHANCE : New Directions for Statistics and Computing
156,IEEE Transactions on Information Theory
157,International Journal of Computer Vision
158,Current Protocols
159,Engineering applications of artificial intelligence
160,Journal of Medical Imaging and Radiation Oncology
161,Frontiers in Environmental Science
162,Data Science Journal
163,Nature Neuroscience
164,Journal of Integrative Agriculture
165,IEEE transactions on multimedia
166,Opto-Electronic Advances
167,Artificial Intelligence Review
168,Technometrics
169,Ethics and Information Technology
170,SIGIR Forum
171,International Journal of Engineering Technology and Management Sciences
172,Lecture Notes in Computer Science
173,Journal of Abnormal Psychology
174,Insect Science
175,Psychological methods
176,The Review of financial studies
177,IEEE Transactions on Big Data
178,Geographical Analysis
179,Journal of Structural Biology
180,IEEE Transactions on Visualization and Computer Graphics
181,Knowledge and Information Systems
182,Gut
183,medRxiv
184,International Journal of Obesity
185,IEEE Internet Computing
186,Sports Medicine
187,SN Computer Science
188,International Journal of Network Security
189,Journal of business research
190,Medical Care
191,Scientific Reports
192,IEEE Transactions on Signal Processing
193,Western Journal of Nursing Research
194,IEEE transactions on fuzzy systems
195,Microbiome
196,Optics Express
197,Nature reviews. Molecular cell biology
198,Statistical analysis and data mining
199,Journal of Network and Computer Applications
200,Journal of Geographical Systems
201,Annual Review of Pharmacology and Toxicology
202,Publications of the Astronomical Society of the Pacific
203,Iraqi Journal for Computers and Informatics
204,Journal of Biosciences
205,Computational and Structural Biotechnology Journal
206,Conservation Biology
207,Cognitive Computation
208,Philosophical Transactions of the Royal Society of London. Biological Sciences
209,Chemical Reviews
210,Evolutionary Intelligence
211,Molecular Ecology Resources
212,Cities
213,Materials Today
214,ACS Central Science
215,Journal of Medical Internet Research
216,The Lancet Oncology
217,Universal Access in the Information Society
218,BioMed Research International
219,BMC Medical Research Methodology
220,European Respiratory Journal
221,Laser & Photonics reviews
222,"Physical Chemistry, Chemical Physics - PCCP"
223,Big Data Mining and Analytics
224,Microscopy and Microanalysis
225,Engineering
226,Behavior Research Methods
227,Electronic Markets
228,The AI Magazine
229,Journal of Chemical Theory and Computation
230,IEEE Transactions on Medical Imaging
231,Analytical Chemistry
232,Nature Plants
233,Nature Chemical Biology
234,Healthcare Informatics Research
235,Peer-to-Peer Networking and Applications
236,Reviews of Modern Physics
237,Nature Computational Science
238,Annual Review of Psychology
239,Remote Sensing
240,Wireless Communications and Mobile Computing
241,Structure and Infrastructure Engineering
242,Journal of Management Information Systems
243,Current Opinion in Structural Biology
244,Plant Methods
245,Nature reviews. Drug discovery
246,Ambio
247,EMBO Reports
248,American Statistician
249,Quality & Quantity: International Journal of Methodology
250,IEEE Transactions on Software Engineering
251,Advances in Experimental Medicine and Biology
252,Acta Numerica
253,Astrophysical Journal
254,Harvard Business Review
255,Journal of Database Management
256,Patterns
257,International Journal of Digital Curation
258,International Journal of Business Information Systems
259,Journal of Physical Chemistry B
260,Nature reviews genetics
261,Computational Intelligence and Neuroscience
262,International Journal of Big Data Management
263,Frontiers in Physiology
264,Molecular Plant
265,IEEE Computational Intelligence Magazine
266,Cerebral Cortex
267,SIAM Review
268,NeuroImage
269,Applied Clinical Informatics
270,Nature Reviews Materials
271,"IEEE Transactions on Systems, Man and Cybernetics"
272,Chemistry of Materials
273,IACR Cryptology ePrint Archive
274,American Journal of Epidemiology
275,IEEE Transactions on Smart Grid
276,Computer/law journal
277,Clinical Epidemiology
278,Frontiers in Plant Science
279,Request for Comments
280,Journal of Library and Information Sciences
281,Journal of Location Based Services
282,Global Transitions Proceedings
283,Statistical Science
284,Human-Centric Computing and Information Sciences
285,British Journal of Educational Technology
286,"International Journal of Minerals, Metallurgy, and Materials"
287,Multiple Sclerosis
288,Frontiers in Medicine
289,Journal of counseling and psychology
290,BMC Public Health
291,Informatica
292,Applied Nanoscience
293,Journal of information science and engineering
294,Foundations and Trends® in Signal Processing
295,Political Analysis
296,Concurrency and Computation
297,BMC Medicine
298,Library Trends
299,Journal of the ACM
300,IEEE Transactions on Dependable and Secure Computing
301,Journal of Social Computing
